subject,subject_type,relation,object,object_type,confidence,provenance
Canvas Pages,PageType,IS_A,Page Type,Meta,0.99,Page 6
Responsive Pages,PageType,IS_A,Page Type,Meta,0.99,Page 6
Grid Pages,PageType,IS_A,Page Type,Meta,0.98,Page 6
Chart,WidgetType,SUPPORTS,Canvas Pages,PageType,0.95,Page 6
Chart,WidgetType,SUPPORTS,Responsive Pages,PageType,0.95,Page 6
Table,WidgetType,SUPPORTS,Canvas Pages,PageType,0.95,Page 6-7
Table,WidgetType,SUPPORTS,Responsive Pages,PageType,0.95,Page 6-7
Geo Map,WidgetType,SUPPORTS,Canvas Pages,PageType,0.95,Page 6
Geo Map,WidgetType,SUPPORTS,Responsive Pages,PageType,0.95,Page 6
R Visualization,WidgetType,SUPPORTS,Story,Feature,0.92,Page 9
Input Controls,WidgetType,SUPPORTS,Story,Feature,0.94,Page 9
Linked Widgets Diagram,Feature,DESCRIBES,Widget relationships,Concept,0.95,Page 11
Linked Widgets Diagram,Feature,DEPENDS_ON,Widget Engine,Feature,0.80,inferred
Assets Panel,Feature,PROVIDES,DragAndDrop UX,Capability,0.85,Page 10
Copy and Paste,Feature,DEPENDS_ON,Assets Panel,Feature,0.85,Page 11
Optimized Design Experience,Feature,CONTAINS,Additional Widgets,Feature,0.96,Page 10
Optimized Design Experience,Feature,CONTAINS,Composites,Feature,0.96,Page 10
Optimized Design Experience,Feature,CONTAINS,Custom Widgets,Feature,0.96,Page 10
Scripting API,Feature,DEPENDS_ON,Script Editor,Feature,0.95,Page 11
Scripting API,Feature,ENABLES,Widget Scripting,Capability,0.94,Page 11
Widget Engine,Feature,CONTAINS,Chart,WidgetType,0.90,inferred
Widget Engine,Feature,CONTAINS,Table,WidgetType,0.90,inferred
Widget Engine,Feature,CONTAINS,Geo Map,WidgetType,0.90,inferred
SectionWidget,WidgetType,SUPPORTS,Canvas Pages,PageType,0.60,user-example
SectionWidget,WidgetType,ONLY_FOR,Canvas Pages,PageType,0.60,user-example
SectionWidget,WidgetType,DEPENDS_ON,Widget Engine,Feature,0.70,inferred
Data Action Starter,Feature,TRIGGERS,Data Action,Feature,0.95,Page 28
Multi Action,Feature,CONTAINS,Data Action Step,Feature,0.94,Page 27
Value Driver Trees,Feature,USES,Modeler,Feature,0.94,Page 8
Value Driver Trees,Feature,APPLIES_TO,Planning,Feature,0.94,Page 8
Linked Analysis,Feature,DEPENDS_ON,Filters,Capability,0.92,Page 7
Story Templates,Feature,PART_OF,Story Engine,Feature,0.95,Page 7
Story Engine,Feature,CONTAINS,Page Types,Feature,0.95,Page 7
Performance Insights,Feature,PROVIDES,Loading Sequence Metrics,Capability,0.92,Page 11
Story,Feature,CONTAINS,Canvas Pages,PageType,0.98,Page 5-6
Story,Feature,CONTAINS,Responsive Pages,PageType,0.98,Page 5-6
Story,Feature,CONTAINS,Grid Pages,PageType,0.98,Page 6
Story,Feature,SUPPORTS,Bookmarking,Capability,0.95,Page 7
Story,Feature,SUPPORTS,Filtering,Capability,0.95,Page 7
Story,Feature,SUPPORTS,Story Templates,Feature,0.95,Page 7
Optimized View Mode,Feature,IMPROVES,Dashboard Performance,Capability,0.90,Page 7
Optimized Design Experience,Feature,PROVIDES,Better Story Design,Capability,0.95,Page 7
View Time Toolbar,Feature,PROVIDES,Quick Access,Capability,0.90,Page 7
Dynamic Text,WidgetType,RESPONDS_TO,Data Interaction,Capability,0.92,Page 6
Story-Defined Thresholds,Feature,COMPARES,Measures,Concept,0.93,Page 7
Story-Defined Thresholds,Feature,DISPLAYS,Threshold Legend,Capability,0.92,Page 7
Background Images,Feature,APPLIES_TO,Responsive Pages,PageType,0.90,Page 7
Background Images,Feature,APPLIES_TO,Responsive Lanes,Concept,0.90,Page 7
Analytic Applications,Feature,CREATED_BY,Analytics Designer,Tool,0.98,Page 12
Analytic Applications,Feature,SUPPORTS,Data Analysis,Capability,0.95,Page 12
Analytic Applications,Feature,SUPPORTS,Data Planning,Capability,0.95,Page 12
Analytic Applications,Feature,USES,Scripting API,Feature,0.95,Page 12
Widgets,Feature,PART_OF,Analytic Applications,Feature,0.95,Page 13
Widgets,Feature,INCLUDES,Data Visualization,Category,0.95,Page 13
Widgets,Feature,INCLUDES,Data Planning,Category,0.95,Page 13
Widgets,Feature,INCLUDES,Filtering,Category,0.95,Page 13
Widgets,Feature,INCLUDES,Layout,Category,0.95,Page 13
Custom Widgets,Feature,EXTENDS,Analytic Applications,Feature,0.93,Page 13
Linked Widgets Diagram,Feature,VISUALIZES,Widget Relationships,Concept,0.95,Page 13
Bookmark,Feature,CAPTURES,Application State,Concept,0.93,Page 13
Theme,Feature,DEFINES,Application Style,Concept,0.93,Page 13
Planning Applications,Feature,SUPPORTS,Manual Data Entry,Capability,0.94,Page 13
Planning Applications,Feature,SUPPORTS,Automated Data Entry,Capability,0.94,Page 13
Smart Capabilities,Feature,INCLUDES,Data Change Insights,Feature,0.92,Page 13
Smart Capabilities,Feature,INCLUDES,Smart Insights,Feature,0.92,Page 13
Smart Capabilities,Feature,INCLUDES,Smart Discovery,Feature,0.92,Page 13
Smart Capabilities,Feature,INCLUDES,Search to Insight,Feature,0.92,Page 13
Smart Capabilities,Feature,INCLUDES,Smart Grouping,Feature,0.92,Page 13
Export Options,Feature,SUPPORTS,PDF Export,Capability,0.93,Page 13
Scheduling Publication,Feature,DISTRIBUTES,PDFs,Capability,0.93,Page 13
Script Editor,Feature,CREATES,Interactive Applications,Capability,0.94,Page 14
Script Objects,Feature,PART_OF,Scripting Support,Feature,0.92,Page 14
Global Variables,Feature,PART_OF,Scripting Support,Feature,0.92,Page 14
Timer,Feature,DELAYS,Script Call,Capability,0.93,Page 14
OData,Feature,CREATES,OData Service,Capability,0.93,Page 14
Error Panel,Feature,DISPLAYS,Script Errors,Capability,0.93,Page 14
Debug Mode,Feature,HELPS,Find Script Errors,Capability,0.93,Page 14
Data Analyzer,Feature,PROVIDES,Ad-hoc Analysis,Capability,0.95,Page 15
Data Analyzer,Feature,ACCESSES,SAP BW Queries,DataSource,0.94,Page 15
Data Analyzer,Feature,ACCESSES,SAP HANA Views,DataSource,0.94,Page 15
Data Analyzer,Feature,ACCESSES,SAP Datasphere Models,DataSource,0.94,Page 15
Data Analyzer,Feature,ACCESSES,SAC Models,DataSource,0.94,Page 15
Data Analyzer,Feature,DISPLAYS,Pivot Table,Visualization,0.93,Page 15
Data Analyzer,Feature,DISPLAYS,Charts,Visualization,0.93,Page 15
Insights,Feature,SAVES,Presentation State,Concept,0.92,Page 15
URL API,Feature,LAUNCHES,Data Analyzer,Feature,0.91,Page 15
Model,Feature,REPRESENTS,Business Data,Concept,0.98,Page 16
Model,Feature,DEFINES,Measures,Concept,0.97,Page 16
Model,Feature,DEFINES,Dimensions,Concept,0.97,Page 16
Account Model,Feature,HAS,Single Default Measure,Concept,0.95,Page 16
Account Model,Feature,HAS,Account Dimension,Concept,0.95,Page 16
Account Model,Feature,IMPORTS_FROM,SAP BPC,DataSource,0.93,Page 16
Other Model Configuration,Feature,ALLOWS,Calculated Measures,Concept,0.94,Page 16
Other Model Configuration,Feature,ALLOWS,Currency Conversion,Concept,0.94,Page 16
Hierarchies,Feature,STRUCTURES,Data,Concept,0.95,Page 16
Hierarchies,Feature,INCLUDES,Level-based,Type,0.94,Page 16
Hierarchies,Feature,INCLUDES,Parent-child,Type,0.94,Page 16
Model Security,Feature,RESTRICTS,Model Access,Capability,0.94,Page 16
Dimension Security,Feature,RESTRICTS,Value Access,Capability,0.93,Page 16
Live Models,Feature,CONNECTS_TO,SAP HANA,DataSource,0.94,Page 16
Live Models,Feature,CONNECTS_TO,SAP S/4 HANA,DataSource,0.94,Page 16
Live Models,Feature,CONNECTS_TO,BW,DataSource,0.94,Page 16
Points of Interest,Feature,VISUALIZES,Geographic Details,Concept,0.92,Page 17
Points of Interest,Feature,USES,Esri Shapefiles,DataSource,0.91,Page 17
Currency Conversion Measures,Feature,CONVERTS,Currency Data,Capability,0.93,Page 17
Preparing Data,Feature,CLEANS,Raw Data,Capability,0.94,Page 18
Combine Data,Feature,JOINS,Data Sources,Capability,0.93,Page 18
Location Dimensions,Feature,ENABLES,Geo Maps,Capability,0.92,Page 18
Smart Transformations,Feature,SUGGESTS,Transformations,Capability,0.91,Page 18
